,"Age, BMI & VAT",Gut MB metabolic pathways
percent_of_non_supine_sleep,0.006758492301106471,0.012691293911679915
percent_of_prone_sleep,0.011790466822131031,0.014725106768539508
percent_of_rem_sleep_time,0.010205529623882796,0.013107961301079305
percent_of_right_sleep,0.0089867736842818,0.011696835107970727
percent_of_sleep_time,0.008571438215640565,0.011467419536487002
percent_of_supine_sleep,0.006856349917532647,0.012697857906505322
percent_of_wake_time,0.00857558615967602,0.011414207620304156
rdi,0.0038547373846627266,0.008274320637188958
rdi_during_left,0.0072503048999064046,0.01249971894099382
rdi_during_non_supine,0.005776996150270448,0.010694648606558832
rdi_during_nrem,0.005696161758344835,0.007527412923262631
rdi_during_prone,0.00825884917399202,0.015689779183368602
rdi_during_rem,0.003506975715731099,0.0059934241241391415
rdi_during_right,0.006942464554228701,0.012589729180662382
rdi_during_supine,0.004120107279977949,0.009059399235240174
rem_latency,0.007687030761522143,0.013319628046540487
saturation_below_80,0.006451350125899959,0.008916410256654496
saturation_below_85,0.005638176211263439,0.01825999186732891
saturation_below_90,0.008663939544726072,0.013529500197114205
saturation_below_or_equal_88,0.006737731988243328,0.015015254033647991
saturation_max_value,0.008067486376976001,0.009324552342308768
saturation_mean,0.0027352609079785628,0.00674404345406616
saturation_min_value,0.004329640073078733,0.008222566518138798
sleep_efficiency,0.012214613359608214,0.012233353421527308
sleep_latency,0.011212363266443688,0.013460144098876236
snore_above_40db,0.007791953581009078,0.011095631642286958
snore_above_45db,0.006472092779663543,0.011348476067230114
snore_above_50db,0.00891410261832915,0.012206028719776654
snore_above_60db,0.013602467611138204,0.013038757892505791
snore_db_mean,0.006777425202503136,0.011468491215537627
time_to_transition_nrem_to_rem,0.008650252718008011,0.01315362532832943
time_to_transition_nrem_to_wake,0.01037611132624571,0.011460852481921944
time_to_transition_rem_to_nrem,0.008472043803901931,0.01043448381366481
time_to_transition_rem_to_wake,0.01036957090725603,0.013091094770572088
time_to_transition_wake_to_nrem,0.012705259373411229,0.011829959229146892
time_to_transition_wake_to_rem,0.014097109508989361,0.014902488525534283
total_arousal_sleep_time,0.010877007635912725,0.013809332766380236
total_deep_sleep_time,0.010110344089491604,0.010039964893143447
total_left_sleep_time,0.009314842732482486,0.011660781622626376
total_light_sleep_time,0.007122213706470129,0.01122531921100275
total_non_supine_sleep_time,0.0072462161628027814,0.013480534581088758
total_prone_sleep_time,0.012391085567232238,0.012347770547541768
total_rem_sleep_time,0.011276125307778984,0.012830314614778486
total_right_sleep_time,0.009368700763080044,0.0136697343929014
total_sleep_time,0.010907786392042184,0.012737246429288957
total_supine_sleep_time,0.006765132481751903,0.013021397834577324
total_time_in_bed,0.01135533475191234,0.009239989530785645
total_valid_apnea_central_sleep_time,0.012103272713879164,0.011643581682716774
total_valid_apnea_sleep_time,0.01118271735845603,0.012154376926569664
total_wake_time,0.011320767300018988,0.011765097586439326
total_wake_time_after_sleep_onset,0.00937057193912524,0.011523814646582774
variability_between_sleep_stage_percents,0.00788717284244088,0.010243051305465581
