,"Age, BMI & VAT","Sleep Quality
(average of nights)"
fBin__457,0.07218321822215655,0.08163337004270249
fBin__461,0.0208143743965966,-0.017406973779687702
fBin__466,0.029925056167755898,0.045915350440836444
fBin__468,0.014176518484070151,-0.014709138293450299
fBin__469,0.07266975423031,0.06013908788607245
fBin__470,0.040814755489635604,0.0324770331405501
fBin__477,0.11657540294469135,0.0812409938574762
fBin__480,0.10846967367460189,0.06729046478053895
fBin__482,0.04455618356622515,0.049079663341179
fBin__483,0.012968419312869149,-0.00962723429763335
fBin__485,0.07316548236563869,0.0619223647690226
fBin__486,0.06897260550337511,0.048553878218664304
fBin__487,0.11640826401959685,0.0471373298240554
fBin__489,0.057184088162492805,0.0477768269444737
fBin__490,0.0694427898109911,0.0371988178932247
fBin__491,0.054685204150307545,0.05916375153843405
fBin__497,0.03103789794125835,0.0104557835993228
fBin__503,0.0561724394018972,0.030439537786571602
fBin__504,0.1070640781144358,0.07707955485575245
fBin__508,0.04217299015945645,0.04581176454307895
fBin__513,0.032798803890335154,0.01751265229238455
fBin__515,-0.01432508413550425,-0.0197427768222968
fBin__517,0.00935705562132495,0.009345384664811149
fBin__518,0.008280361343108451,0.00839409786799835
fBin__519,0.0137443157761971,-0.04886858623798525
fBin__520,-0.02651918740703385,0.02831775167354085
fBin__521,0.0472815487648749,0.07417665953820021
fBin__524,0.03470685168328555,0.02697257091764125
fBin__525,0.0632722872232929,0.01985392934574365
fBin__526,0.017850282164087752,0.0333464674458082
fBin__527,0.02400569750099815,0.021297553793447
fBin__528,0.0158390391660835,0.0230801669032222
fBin__529,0.06743424497539996,0.04331099606180795
fBin__53,0.07527217698949634,0.018882448344131803
fBin__530,0.11512316304589365,0.0501731848127022
fBin__531,0.12817312182190066,0.06826668082752525
fBin__532,0.026599406186020053,0.02487639612907215
fBin__533,0.0090844412098567,-0.0002606624191324076
fBin__534,0.0101645843619015,0.02699688199803065
fBin__535,0.0186594825595843,0.010998232734087999
fBin__536,0.0034163578343809004,-0.0031385518089542498
fBin__537,0.11528645730593476,0.0477745229664746
fBin__538,0.06508349658124091,0.05609428250428375
fBin__539,0.03676706547497045,-0.0015900069503167998
fBin__541,0.09002185085355045,0.06277884787177054
fBin__549,-0.0169652331957348,0.03108637890296475
fBin__555,0.020098815165333447,0.05221158371351185
fBin__56,0.0025151072185954,0.022682728721837103
fBin__565,-0.00482511081248065,0.0239890463339741
fBin__566,0.01227334221189905,0.00066659684058235
fBin__569,0.08313921897662829,0.057038843675047954
fBin__571,0.0306272016281455,0.016067648269234548
fBin__573,0.008817605648165,0.0136425721141022
fBin__577,0.06495718596009506,0.05925364278612395
fBin__579,-0.028610040235338148,0.0095133399383874
fBin__583,0.0814966030296921,0.04761955150362855
fBin__584,0.0455829360649289,-0.003660597265593
fBin__588,0.02430109115462865,0.02723546572940305
fBin__589,0.0088202809951198,-0.0008997988899891
fBin__59,0.0098670445048612,0.0096733593945583
fBin__590,0.044763466662604695,0.0330037208219556
fBin__592,0.045554467820183,0.03499110638679975
fBin__594,0.03207269140511525,-0.00794729372312715
fBin__595,0.01281680090565225,0.02034029990241615
fBin__597,0.01236399545146995,0.007672715094597601
fBin__598,0.0313571539666129,0.04371905463089315
fBin__600,0.0280190553790567,0.00048967722343035
fBin__601,0.0263079967107301,0.02739816447004525
fBin__602,0.0332106176945405,0.022520845915140447
fBin__605,0.07397804615948825,0.03165339455583045
fBin__606,0.037055061314941504,-0.0066890680298949505
fBin__611,0.0450877867394763,0.01247640573201515
fBin__613,0.0096737594087876,-0.01028464630574575
fBin__614,0.0516597916650309,0.00242842324775975
fBin__616,0.07736148910208915,0.0652174204313187
fBin__619,0.08337256384780115,0.08807956295253949
fBin__625,0.0324258713035743,-0.008274660133922699
fBin__627,0.07761957685184931,0.0285836193951924
fBin__69,0.0049827663829353,0.00031482115663602307
fBin__70,-0.0256440695330666,-0.0225791530476702
fBin__71,0.029142605946815,0.02507199642025605
fBin__72,0.0622238364272489,0.035588345907235405
fBin__73,0.0846545162842188,0.038808575686799004
fBin__76,0.02025303559019605,0.028152750354684397
fBin__83,0.0555936685182847,0.03814331739749545
fBin__84,0.00288744996853675,-0.00349391613871775
fBin__86,0.0050634881547804,0.05402909885876705
fBin__88,0.0007132968544708999,0.03860267699261235
fBin__94,0.06553544550461174,0.07127042366597519
fBin__95,0.0421278449919966,0.012389618444408949
fBin__96,0.01157514803299945,0.03021013537685805
fBin__97,-0.011916281230183349,-0.0049406439028689
fBin__99,0.00906344599124125,0.0433922185385001
