,"Age, BMI & VAT","Sleep Quality
(average of nights)"
fBin__328,0.012149400390910033,0.011969486099991334
fBin__332,0.011092302291354762,0.012680150781291406
fBin__334,0.011566080415306608,0.013337580744860869
fBin__337,0.012104542784177193,0.012321520214685033
fBin__338,0.01359451737361396,0.012777846750913856
fBin__339,0.011673205154137849,0.013154351355490401
fBin__34,0.011886860729922344,0.014956160911182492
fBin__340,0.011258715669638899,0.013086876585746306
fBin__345,0.013477776372568298,0.01316978264419997
fBin__35,0.012735518969973776,0.01223734143831537
fBin__351,0.010073417913635951,0.015297582793604051
fBin__356,0.012735113704502338,0.013725236563038461
fBin__357,0.01121348322563794,0.012550381885581193
fBin__359,0.009965330284300598,0.01156936182393661
fBin__36,0.012897914350408494,0.013194616434475389
fBin__364,0.012550060557524981,0.013502586963376709
fBin__366,0.011177064934605676,0.012257852626230172
fBin__367,0.0136746295454014,0.014073381392857394
fBin__369,0.011121183317033581,0.012731104061417878
fBin__37,0.01117489475212255,0.011497972781193936
fBin__371,0.011473898510725998,0.012567564394810656
fBin__373,0.01329780222287262,0.011501289291892074
fBin__374,0.013303969051064448,0.01077962033590849
fBin__375,0.013755641058571506,0.0140407384123312
fBin__376,0.015832981989789024,0.01519021232936112
fBin__379,0.011327658201579903,0.013678466460888682
fBin__381,0.010435260051115976,0.013135535338886247
fBin__382,0.014380768499923991,0.014073035983078096
fBin__383,0.01091595500431542,0.012393581832456365
fBin__384,0.015024030980016716,0.015125708080124076
fBin__386,0.010363214110002286,0.015624761620006459
fBin__387,0.013422177775320544,0.011677917260853559
fBin__388,0.013959829937658971,0.012986011034379985
fBin__393,0.010948495456940197,0.013774453403926171
fBin__395,0.01149462657558837,0.010615278981691928
fBin__418,0.011387583674494007,0.012028656442582799
fBin__423,0.013529004348620519,0.012089648503141445
fBin__424,0.011218816430942198,0.012671390128956477
fBin__43,0.01232566780909403,0.012885567431821173
fBin__441,0.009727773784726092,0.01606682903229261
fBin__45,0.013717421522681192,0.014783936440254148
fBin__451,0.015038336166646186,0.013571436530299186
fBin__452,0.014394334383909548,0.012298489046001488
fBin__454,0.010394362376361222,0.0162688280930139
fBin__455,0.011485828610084611,0.013111757749052856
fBin__456,0.01204375908827776,0.014499220829316156
fBin__457,0.012320403996222203,0.014512552733914663
fBin__461,0.012241159552372538,0.011817068106328163
fBin__466,0.013379987728113675,0.013672947019802586
fBin__468,0.013494784601989041,0.011042872257255785
fBin__469,0.012298966513430832,0.011872979543164167
fBin__470,0.012685651558535647,0.013484732531589551
fBin__477,0.012081435210908846,0.014354085538811736
fBin__480,0.011448051312202,0.011204741135244303
fBin__482,0.012569473662300306,0.016527874111285333
fBin__483,0.013878603464065846,0.014454117948674038
fBin__485,0.012594162133341321,0.01017974209205123
fBin__486,0.015101047916114354,0.015170343331387103
fBin__487,0.01215029938583298,0.013763474685609196
fBin__489,0.012357998337676208,0.01400265560599282
fBin__490,0.012410548888968238,0.012210176250409358
fBin__491,0.011723485899276544,0.013732618143307068
fBin__497,0.017187415737344367,0.014453724412434574
fBin__503,0.012387561695818634,0.014730355649776398
fBin__504,0.00982220039858011,0.01308360830477733
fBin__508,0.012608970324207672,0.011900417475218097
fBin__513,0.012752168561374233,0.013639774781957747
fBin__515,0.012831632808593679,0.01099705481063161
fBin__517,0.01205832656123888,0.009950866371705716
fBin__518,0.013642760958719503,0.013364026299329066
fBin__519,0.012524743161533057,0.014199995847357181
fBin__520,0.013615615341717418,0.013871818713533273
fBin__521,0.014994024417330101,0.015604371673681174
fBin__524,0.012184146050907521,0.01402417364107715
fBin__525,0.011604375756893071,0.014057915783454208
fBin__526,0.01278151535865169,0.015250883153210689
fBin__527,0.015549242713327893,0.012848468221048414
fBin__528,0.012290362527498778,0.011957361169137329
fBin__529,0.010721997515845698,0.014737398271809999
fBin__53,0.00971736742866279,0.011071107936111012
fBin__530,0.010084828423122394,0.013932198971648489
fBin__531,0.010494756193515194,0.010489289257904686
fBin__532,0.011743972037325518,0.015161049192219788
fBin__533,0.015054216746499937,0.013984224925344681
