,"Age, BMI & VAT",Medications
percent_of_supine_sleep,0.004556657651827552,0.004556657651827552
percent_of_wake_time,0.006165408061828958,0.006165408061828951
rdi,0.0012321401342247603,0.0012321401342247562
rdi_during_left,0.00166083163015303,0.0016608316301530521
rdi_during_non_supine,0.0018877630248515704,0.0018877630248515704
rdi_during_nrem,0.0016607409115694074,0.0016607409115694074
rdi_during_prone,0.0028122539144420453,0.0028122539144420453
rdi_during_rem,0.0010205027194049275,0.0010205027194049275
rdi_during_right,0.0025922408535648694,0.0025922408535648694
rdi_during_supine,0.0012518444528728204,0.001251844452872806
rem_latency,0.006619149394683407,0.006619149394683396
saturation_below_80,0.006819433485734766,0.006819433485734766
saturation_below_85,0.004656151680308087,0.004656151680308087
saturation_below_90,0.0044618043651932105,0.004461804365193228
saturation_below_or_equal_88,0.004333248189190121,0.004333248189190074
saturation_max_value,0.026568333126661747,0.026568333126661917
saturation_mean,0.0014737201571228093,0.0014737201571228382
saturation_min_value,0.0017896682289625227,0.001789668228962526
sleep_efficiency,0.007574327026355981,0.007574327026355981
sleep_latency,0.012280955032832596,0.012280955032832596
snore_above_40db,0.0030551071195064772,0.0030551071195064772
snore_above_45db,0.002389664048412992,0.002389664048412992
snore_above_50db,0.0029791696924798953,0.002979169692479891
snore_above_60db,0.005917415866844112,0.005917415866844114
snore_db_mean,0.002799302838050657,0.002799302838050644
time_to_transition_nrem_to_rem,0.010759212251034713,0.010759212251034713
time_to_transition_nrem_to_wake,0.005354528106821242,0.005354528106821242
time_to_transition_rem_to_nrem,0.003618740976277958,0.003618740976277972
time_to_transition_rem_to_wake,0.01120951666915634,0.01120951666915634
time_to_transition_wake_to_nrem,0.0019654379310243704,0.0019654379310243704
time_to_transition_wake_to_rem,0.006022434956372872,0.0060224349563728595
total_arousal_sleep_time,0.0067436919604889544,0.0067436919604889544
total_deep_sleep_time,0.0023707929916704125,0.0023707929916704186
total_left_sleep_time,0.005213569383463048,0.005213569383463043
total_light_sleep_time,0.003788610638975852,0.003788610638975852
total_non_supine_sleep_time,0.0042822051629803504,0.0042822051629803504
total_prone_sleep_time,0.013368664301281504,0.013368664301281504
total_rem_sleep_time,0.0046822886335277395,0.004682288633527726
total_right_sleep_time,0.003829054049929058,0.0038290540499290597
total_sleep_time,0.006869591075470819,0.006869591075470819
total_supine_sleep_time,0.004285320313614807,0.004285320313614807
total_time_in_bed,0.008307133679391867,0.008307133679391867
total_valid_apnea_central_sleep_time,0.0077280850662059634,0.007728085066205973
total_valid_apnea_sleep_time,0.005361186325483842,0.005361186325483844
total_wake_time,0.005448585623832304,0.005448585623832302
total_wake_time_after_sleep_onset,0.004607805994007375,0.004607805994007375
variability_between_sleep_stage_percents,0.0023520268075671036,0.0023520268075671036
