,Age & BMI,Medications
percent_of_supine_sleep,0.0026461563659092345,0.00284844663620261
percent_of_wake_time,0.0034765820834683357,0.0034765802781869947
rdi,0.0008168769004139665,0.0008087541615047852
rdi_during_left,0.0016588808446908157,0.0017686362257748754
rdi_during_non_supine,0.0010743069216017143,0.0010327894764758192
rdi_during_nrem,0.001144204206343352,0.0011640150425986382
rdi_during_prone,0.0016819254582161765,0.0018821434962196743
rdi_during_rem,0.0005645279571209539,0.0005940054712255953
rdi_during_right,0.0019556922276316203,0.0020232897553423878
rdi_during_supine,0.0006086024949805335,0.000638770725520249
rem_latency,0.003933116823824332,0.004279222032841278
saturation_below_80,0.008790412084554142,0.008790412084554142
saturation_below_85,0.012678183259029845,0.012678182607167675
saturation_below_90,0.003714660838261678,0.00369768378560983
saturation_below_or_equal_88,0.004878302262382857,0.004877068084265952
saturation_max_value,0.010445201311179056,0.010445200206617815
saturation_mean,0.000592968124495521,0.0005929673578800035
saturation_min_value,0.0008232714010623572,0.0008944891484058716
sleep_efficiency,0.0035151133649109325,0.0035151130776695932
sleep_latency,0.006995337540657827,0.007077235525125008
snore_above_40db,0.001583935521506819,0.0017333956500937505
snore_above_45db,0.001510124580967211,0.001557273321521182
snore_above_50db,0.0022899572936648724,0.0022389127401207663
snore_above_60db,0.005624945499047384,0.00563506499584483
snore_db_mean,0.0024682668684759437,0.0024682676811648664
time_to_transition_nrem_to_rem,0.004916701118937801,0.005896433221534874
time_to_transition_nrem_to_wake,0.003203785472362035,0.0030761428064563522
time_to_transition_rem_to_nrem,0.00207635164187354,0.002321728638317869
time_to_transition_rem_to_wake,0.003737988486786428,0.0046566287056876085
time_to_transition_wake_to_nrem,0.010907251523738582,0.010907251523738587
time_to_transition_wake_to_rem,0.015888721583906338,0.01588872158390633
total_arousal_sleep_time,0.008874325011576438,0.008854976378990404
total_deep_sleep_time,0.0019100567482954894,0.0022256909384812617
total_left_sleep_time,0.0036703101510062496,0.003950982041716129
total_light_sleep_time,0.002257013647750905,0.002814255115401586
total_non_supine_sleep_time,0.0022023549588673767,0.002431929898821358
total_prone_sleep_time,0.01192175733139568,0.011714745881705315
total_rem_sleep_time,0.0026416901005019227,0.00288721621970306
total_right_sleep_time,0.002946572167759568,0.003916151425169277
total_sleep_time,0.008625221087315593,0.008614383321188818
total_supine_sleep_time,0.0031949176478872445,0.0036887893529325548
total_time_in_bed,0.0036677534858575197,0.00411795372622747
total_valid_apnea_central_sleep_time,0.011125600291091641,0.011515501160444613
total_valid_apnea_sleep_time,0.008065279183767236,0.008825658709467303
total_wake_time,0.002257920505244739,0.002120113528502745
total_wake_time_after_sleep_onset,0.00263854392004028,0.0027774046633886307
variability_between_sleep_stage_percents,0.0021551505203389254,0.002142599269625029
