,Age & BMI,"Sleep Quality
(average of nights)"
Potato chips,0.018730177402876785,0.018730177402876785
Potato salad,0.012005920259459965,0.013712147997277692
Potatoes,0.0054145199520957655,0.014679497246591056
Pretzels,0.008975049758994444,0.01055174508939522
Prune,0.017589171386572188,0.017589171386572188
Pullet,0.010349481619622477,0.010349481619622477
Pumpkin,0.011562156181200047,0.011562156181200047
Pumpkin seeds,0.010246856291528555,0.010495803196895184
Quinoa,0.00671558742794849,0.011280646935322129
Raisins,0.01084129883532439,0.01084129883532438
Ravioli,0.012611781570809727,0.011367108685540217
Red Cabbage Salad,0.012796203832504868,0.012796203832504868
Rice,0.006141860051750438,0.01326045500033047
Rice Noodles,0.011803195195529317,0.011803195195529267
Rice crackers,0.014642319289413503,0.017816822710214144
Roasted eggplant,0.010831121778429905,0.011554662304804638
Roll,0.00596085933362957,0.009159472800431091
Rugelach,0.011841365339974678,0.01184136533997469
Rye Bread,0.007438390464403352,0.009645660776385918
Salmon,0.008462763364287671,0.010016490895320938
Salt,0.01388185958211078,0.013881859582110783
Salty Cheese,0.010166567402883516,0.009422689220223232
Salty Cookies,0.012934192928379197,0.013606185706033976
Sauerkraut,0.01370870318267685,0.013708703182676793
Sausages,0.00820915529798036,0.009236145772024683
Sauteed vegetables,0.01303923324131603,0.01303923324131603
Schnitzel,0.0037557725270891185,0.012174347184230211
Schug,0.010541955952385934,0.010541955952385912
Seabass Fish,0.007986301058172059,0.011903918533306485
Shakshouka,0.006664763053152403,0.007698649877232196
Shrimp,0.012127617211009243,0.012127617211009203
Small radish,0.011989232984430298,0.011989232984430293
Smoked Salmon,0.012306158897059704,0.012306158897059693
Smoothies,0.011245450583174348,0.014149751115855664
Soda water,0.01380905099707787,0.013545753232085806
Soup mandels,0.011201424884045356,0.011292018616892031
Soy sauce,0.01296054933788151,0.012960549337881532
Soymilk,0.007776193186763543,0.011727467071306922
Spelled,0.010684203148437705,0.010684203148437708
Spinach,0.010992218088312149,0.010992218088312149
Spinach Quiche,0.012308436212459048,0.012308436212459032
Sprouts,0.014040907325652163,0.013601523891777385
Squash casserole,0.013311487382831305,0.012999092691899097
Steak,0.007814514074893539,0.012054404513749303
Strawberry,0.009831581837860317,0.009818362354219134
Stuffed Cabbage,0.01113624495929353,0.01113624495929356
Stuffed Vine leaves,0.011654140650469835,0.011992183634833046
Sugar,0.014304865037534118,0.013692781849401477
Sugar Free Gum,0.012636825404772097,0.012636825404772144
Sugar substitute,0.012730277599227784,0.012730277599227733
Sunflower seeds,0.013108628433047154,0.012079710586439463
Sushi,0.00480136170403131,0.016376868367555447
Sweet Challah,0.01460238500109208,0.01460238500109208
Sweet Potato Soup,0.008177305035184984,0.013279906089218713
Sweet Roll,0.012558021416475997,0.010918266268763334
Sweet potato,0.008973297560350122,0.009610096823289642
Tabbouleh Salad,0.013339984145073048,0.011442182170994597
Tahini,0.0055636003213573575,0.009283817839806016
Tea,0.005168301382853746,0.006895483082956462
Teriyaki Sauce,0.012957998066733497,0.012957998066733497
Tilapia,0.011206844181394822,0.011206844181394822
Tofu,0.005454893073323934,0.013636725490496618
Tomato paste,0.01245883845185304,0.011175921695665919
Tomato sauce,0.006528083045671492,0.007577828058025202
Tomatoes,0.012234296032023535,0.011357978364842468
Tomatoes Salad,0.013647007686046372,0.011845559556218802
Tortilla,0.014710609736805937,0.015512457626003048
Tuna Salad,0.010168382755838687,0.011052605033959965
Tuna Sandwich,0.012356837994108262,0.012356837994108262
Turkey Shawarma,0.006769798618723004,0.007896551094015008
Tzfatit Cheese,0.0104900102313524,0.010758102894799313
Vegetable Salad,0.005208917513925122,0.01133530088227671
Vegetable Soup,0.003662266104480089,0.0053356827113844535
Vodka or Arak,0.013650674394806023,0.01385416618417334
Wafers,0.011527471678718638,0.011527471678718638
Walnuts,0.008699818783314394,0.011591418098273477
Water,0.011381234243189894,0.011381234243189894
Watermelon,0.008574284681788408,0.006253634917591048
Whipped cream,0.010748581795652324,0.010748581795652324
Whiskey,0.011464496244852544,0.011464496244852546
White Cheese,0.006226576608138662,0.014652447194398309
White beans,0.013589351045566822,0.013589351045566822
Wholemeal Bread,0.012121065998639494,0.012978714358907465
Wholemeal Crackers,0.011643137679268093,0.01164313767926806
Wholemeal Roll,0.009113762756352997,0.009113762756352997
Wine,0.003465177115114772,0.007403860470540794
Yellow Cheese,0.004792556689974496,0.007219440920290879
Yellow pepper,0.012003910135786477,0.012003910135786486
Yogurt,0.004883006630419094,0.015079525283552211
Zucchini,0.013534958209583942,0.012395277169412739
emmer wheat bread,0.010893738757716138,0.01089373875771615
ginger,0.010248199420804101,0.010248199420804101
