,Age & BMI,"HRV
(average of nights)"
Lipids_POS_7155731_3231920_2954071,0.007848320425968499,0.07712247177336985
Lipids_NEG_8176436_3715158_3161221,0.07015530622702204,0.1393742390076357
Lipids_POS_7576212_3543233_3078005,0.03447588282884275,0.10347478588135176
Lipids_POS_11113525_4697074_3364654,0.0364715113013084,0.10541463215805655
Lipids_NEG_5931222_4278224_2480400,0.0062813451874688,0.07495209504784914
Lipids_POS_4872788_2101923_2260856,0.00710251263363095,0.0750978772406658
Lipids_POS_8941853_3893945_2906842,0.01587656942173735,0.08336641060632516
Lipids_POS_7896745_3905381_3172125,0.050722544734983305,0.11810904266060974
Lipids_POS_8927856_4137253_3396348,0.01046847208043815,0.0778269160542524
Lipids_NEG_6710996_3114222_2583588,0.032056490001260596,0.0992239818044752
Lipids_NEG_10972011_4579455_3173355,0.0044135482580566,0.07088679721920665
Lipids_NEG_7996695_4091447_3069170,0.0137701770959349,0.07982573784335945
Lipids_POS_7525576_3286112_2948272,0.027015124222852398,0.09304421548530176
Lipids_NEG_3032329_2170053_1894318,0.032631816968270805,0.09854402108845145
Lipids_NEG_10992705_4210165_3549398,0.0381900573834971,0.10396804002784629
Lipids_POS_8176856_3713973_3288614,0.010633356821925,0.07617932388224086
Lipids_NEG_12482180_4592529_3480986,0.02390114233133805,0.08916333857764205
Lipids_POS_7582208_4176009_2534033,3.74620718715697e-05,0.06482048701464804
Lipids_NEG_10851283_4201522_3259417,0.019002987197402302,0.0829567125871748
Lipids_POS_12672565_4614457_3452832,0.019130021031322,0.08286001509407005
Lipids_POS_6015186_4496145_2715951,0.0880080308686325,0.15148921637485563
Lipids_NEG_9052283_4281291_2966083,0.021631914866588248,0.0850965325618083
Lipids_POS_9242704_4282067_2944498,0.0083183319874219,0.0714827473437714
Lipids_NEG_8105650_3397787_3072012,0.0041894175110143,0.06719961462561365
Lipids_NEG_8931557_3854269_2941875,0.01084652950037275,0.07370855222368736
Lipids_NEG_10251617_4557856_3139942,0.01552216096096755,0.0782192352102264
Lipids_POS_10261909_4325337_3086315,0.026140643538951902,0.08856925568982854
Lipids_POS_15171972_3514432_4745722,0.053782205703172756,0.1161287267664288
Lipids_NEG_4490422_3233984_2146217,0.014897602335338399,0.07709225228480984
Lipids_POS_7725472_3063646_2988937,0.017716635395425798,0.0797571785200457
Lipids_NEG_9066574_3682705_3312536,0.07627564177873344,0.13827321632331852
Lipids_POS_5795340_3389083_2760037,0.00402147438342995,0.06590150277452725
Lipids_NEG_9651950_4221923_3036382,0.006656446406306,0.06813338912498376
Lipids_POS_7765579_3537043_2963093,0.023461527548416,0.08486448022816795
Lipids_NEG_2512009_1886962_1740366,0.0054200586186402,0.0667984267550281
Lipids_POS_5326226_3092724_2619239,0.0205278114271882,0.08179434551572555
Lipids_NEG_14640780_3444566_4550877,0.0045675917109429,0.06523501619472791
Lipids_NEG_7716382_3904958_2992243,0.04522898315819865,0.10586032729618505
Lipids_NEG_9197236_3994666_3399857,0.0178527286618419,0.07788464453193095
Lipids_POS_5183237_1423707_2322379,0.012548889615245699,0.07210228392442615
Lipids_NEG_5211370_2689213_2256923,0.0064267265623799,0.06522025736701415
Lipids_POS_8466685_3662312_3289468,0.01312642514633525,0.0718038064941022
Lipids_POS_9237447_4614450_3433331,0.009256114800943401,0.06762143830014555
Lipids_NEG_9531209_3632031_3041540,0.010859087554499401,0.0690683158735588
Lipids_POS_6035322_4503158_2757347,0.039497389179828354,0.0976377361033053
Lipids_POS_6415106_3630475_2725824,0.1619859356468377,0.2200394917563551
Lipids_NEG_5954363_3071179_2730577,0.00343493886342755,0.0607031862554034
Lipids_POS_16003434_3898021_5051118,0.02166717024123925,0.07889484556273024
Lipids_NEG_10972006_4850609_3188070,0.01979739024285975,0.07677365049614465
Lipids_NEG_10552447_4373736_3174609,0.00116980762692145,0.0580065645907004
Lipids_POS_6135540_3643314_2773348,0.0104383949233374,0.0669036244104197
Lipids_POS_6875681_3972169_3078358,0.0147830827567306,0.0707445019090309
Lipids_POS_15101178_3474834_4600986,0.034345725815169856,0.0900355546453824
Lipids_POS_8366021_3284560_3160247,0.008445456327752749,0.06387583126917075
Lipids_NEG_3730442_1770601_1842770,0.00554753616718385,0.0609147490752312
