,Age & BMI,"HRV
(measured during sleep)"
Lipids_POS_892.8313_488.9284_346.9171,0.2839289782149782,0.32420280422081216
Lipids_NEG_244.9748_459.6243_144.6673,0.220139964098883,0.26026910169475015
Lipids_NEG_311.1680_441.7371_193.0363,0.28451935544922813,0.32430549742897663
Lipids_NEG_918.6204_341.4169_330.8214,0.1985696806809191,0.23807722738688114
Lipids_POS_766.5707_359.2509_302.1110,0.2557658056265818,0.2945460652163216
Lipids_NEG_639.5196_371.4113_274.7022,0.31416958151971086,0.3521866685247942
Lipids_POS_878.8073_464.3526_340.8640,0.346134987023781,0.3841023476354434
Lipids_POS_1765.6130_478.5266_594.7758,0.3163831596639725,0.3543142287822951
Lipids_NEG_1028.7236_365.6737_348.8825,0.2364776724085485,0.2743380521186341
Lipids_NEG_906.6573_361.2498_328.2937,0.18947957361287904,0.2273363254562384
Lipids_NEG_828.5895_369.8371_306.8074,0.26281394701496263,0.30008076788965365
Lipids_POS_919.8428_480.4868_357.9967,0.33766937960378685,0.37482494919483966
Lipids_NEG_866.6710_371.9486_321.3018,0.16734654211055086,0.2041669577485481
Lipids_POS_758.6010_366.7447_304.0579,0.0869260181562319,0.123540986797335
Lipids_NEG_953.6936_387.9615_348.4213,0.10094586490216689,0.13743527908753184
Lipids_POS_768.5530_352.3433_294.2516,0.0100536747725656,0.046520248850121695
Lipids_POS_619.4682_415.1005_293.4195,0.17639218796354011,0.21275641578596494
Lipids_NEG_452.2779_177.5464_217.9173,0.15551865353045186,0.19130500305716308
Lipids_NEG_681.5757_385.3651_285.0557,0.2641528287740302,0.2995830829305669
Lipids_POS_1324.1867_467.7297_453.7311,0.2135414158438996,0.2489353821027985
Lipids_POS_835.6649_358.3961_324.5564,0.19805998051542972,0.2333407318128417
Lipids_NEG_608.3926_216.8683_264.5112,0.3575078068633879,0.39266349535931777
Lipids_NEG_610.4079_243.1175_269.3509,0.3860491662311804,0.4211322961088799
Lipids_NEG_737.5355_305.2839_293.6982,0.23537764791255925,0.2700510667374719
Lipids_NEG_840.6553_372.9065_316.8251,0.06734686291437281,0.10178417409329495
Lipids_POS_867.7038_355.6422_332.3289,0.2695903150252575,0.30392503388600234
Lipids_NEG_637.5038_361.7893_274.0145,0.2747209125073302,0.30900174777602407
Lipids_POS_1315.2011_446.6153_626.7084,0.10469207156731694,0.1387999796187987
Lipids_POS_733.6205_358.1800_308.4194,0.32087586998394657,0.35494621112523056
Lipids_NEG_791.6255_358.1959_315.3989,0.2706476746324314,0.304632460994189
Lipids_POS_945.7281_443.8157_346.0400,0.24574602581651575,0.2796512975105116
Lipids_POS_934.7356_388.2823_344.5864,0.15040657886652864,0.18425656958696268
Lipids_POS_1376.0924_311.8113_441.5371,0.06355340990546185,0.0972193913407357
Lipids_POS_571.4708_427.5575_261.3736,0.2631375061612913,0.29640687838728197
Lipids_POS_587.5022_443.4814_268.2970,0.24316070697298695,0.2764222650333153
Lipids_POS_577.5181_371.2625_272.7018,0.32212423651079836,0.35510560986617956
Lipids_NEG_651.6029_459.3342_291.5403,0.21680688047608676,0.24976202729222668
Lipids_NEG_651.5194_361.6631_277.2036,0.30130376993455116,0.33415825491975965
Lipids_POS_582.5494_470.3043_272.2050,0.23522724012730717,0.26799948512689464
Lipids_NEG_1119.8800_432.7138_373.8776,0.20908902718022165,0.2416254788422575
Lipids_POS_742.8223_343.5809_298.5719,0.18757535118619234,0.22005537946749726
Lipids_POS_850.7760_450.5310_332.4568,0.3469057510916277,0.37921013829965655
Lipids_POS_868.6769_384.0145_326.5676,0.18098195836283748,0.21239830831842743
Lipids_NEG_972.5926_325.9623_340.0359,0.2439640572847292,0.27532630879564257
Lipids_NEG_914.7195_413.6894_336.3255,0.20140995159136643,0.23254344302824942
Lipids_POS_911.8021_499.1085_347.6683,0.2308643154786288,0.2617709836822586
Lipids_NEG_937.6624_371.4648_344.4130,0.10496481258415125,0.13568644257530132
Lipids_POS_550.3864_216.7849_248.3019,0.35424186937424224,0.3848345333906097
Lipids_POS_854.6977_395.4374_329.3499,0.2620488762807634,0.2921280726345197
Lipids_POS_877.6194_463.6881_340.3724,0.28229386565227443,0.3123359671196174
Lipids_POS_994.7628_478.5323_353.2662,0.24164205500061237,0.2716249523783953
Lipids_NEG_841.3752_329.8427_314.5875,0.088676821412886,0.11846186977304285
Lipids_POS_641.5106_363.0475_272.5824,0.18674358741722555,0.2162938616918842
Lipids_NEG_802.5962_359.1946_312.6030,0.228350268274329,0.2578902212104208
Lipids_NEG_1117.8644_423.9543_372.1056,0.1492594800712559,0.1787279812841848
Lipids_POS_454.2924_177.5599_221.1979,0.14424195649935664,0.1733198910141058
Lipids_POS_878.3626_463.7962_340.8717,0.24412567752019027,0.27309113326679735
Lipids_POS_764.5540_344.0557_301.0366,0.2115629982862507,0.24037199751803767
Lipids_POS_625.5178_443.8032_275.6665,0.31602397761706047,0.34479357101211416
Lipids_POS_881.7542_484.5223_338.1302,0.3149709532670179,0.34369255321082215
Lipids_POS_908.7889_418.6102_344.0442,0.1463201974024595,0.17503189589835824
Lipids_POS_783.6323_379.0932_312.2339,0.2734099515444348,0.30211533628639675
Lipids_POS_640.5858_389.1019_281.2604,0.2692068558710823,0.29789657517463475
Lipids_NEG_932.6728_374.4853_334.6757,0.15209495609074358,0.1804276413773387
Lipids_NEG_717.5900_358.3857_292.8731,0.17913480170961898,0.2074058403412807
Lipids_POS_606.4483_272.6867_264.4485,0.294524314067922,0.3227738456295367
Lipids_POS_972.7330_380.4886_344.7144,0.2217515027946032,0.24979284704589744
Lipids_NEG_936.7052_391.2683_338.2998,0.10070794723203165,0.12856580993050004
Lipids_NEG_724.6415_398.0650_304.2407,0.148580599868564,0.17630178886505635
Lipids_POS_653.5487_452.5023_282.5510,0.23065828572798774,0.25833542820662403
Lipids_NEG_313.0778_454.9714_384.3493,0.1378586073945298,0.16539875719924751
Lipids_POS_568.4262_278.2208_321.1623,0.2618077981956767,0.28899978290652306
Lipids_NEG_311.1682_459.7521_193.9681,0.2733693808391332,0.3000866150243719
Lipids_POS_623.5023_431.9776_272.1002,0.3071470331562268,0.3338425963636793
Lipids_POS_862.7861_482.0744_335.3001,0.2188520403405741,0.2452452169873759
Lipids_NEG_623.5730_371.9796_282.0741,0.049968799003754255,0.0762657818486395
Lipids_NEG_649.5027_347.0223_272.8118,0.32010863591047006,0.3463907048612891
Lipids_POS_906.7748_409.5317_341.1556,0.25204398047281396,0.2782790034265845
Lipids_NEG_609.5573_371.9487_278.0839,0.18086097216821118,0.20705976778929042
Lipids_NEG_773.5329_327.5864_293.0856,0.2270438956491435,0.25299134512106025
Lipids_POS_573.4870_426.3510_264.6276,0.2230166023370306,0.24885445910678305
Lipids_POS_770.5695_358.6744_295.8346,0.1338604063859746,0.1592975325861507
Lipids_NEG_256.2359_433.3082_176.7965,0.19939887401516584,0.2247679737437434
Lipids_POS_624.6261_403.5537_290.6977,0.13697522099491236,0.16234251040445535
Lipids_NEG_679.5513_376.1531_285.0875,0.2478408894510411,0.27316211599692575
Lipids_POS_911.7793_427.0930_345.7057,0.26748727787407367,0.2927326353367104
Lipids_NEG_887.6820_369.8673_332.0484,0.2811243507354342,0.30603006487003115
