,Age & BMI,"HRV
(measured during sleep)"
Lipids_POS_899.7419_393.2939_342.5560,0.06647575994852134,0.0946732446274709
Lipids_POS_592.4694_284.2519_265.6126,0.1732319882510432,0.20140219263826825
Lipids_POS_1514.1495_343.2127_472.4420,0.21420652462462186,0.2415491072100336
Lipids_NEG_887.6820_369.8673_332.0484,0.2587686837904733,0.2856203464047615
Lipids_NEG_395.3887_345.7622_215.6304,0.18083292573206736,0.20686864172685343
Lipids_POS_704.5219_312.5179_286.5104,0.15956696329431996,0.18528631773337323
Lipids_NEG_732.4961_327.1822_283.4070,0.05008256300570995,0.0754703039525811
Lipids_POS_799.9990_383.6248_319.0905,0.0859286104822358,0.11041368104107495
Lipids_POS_785.3595_336.9939_303.4970,0.0018341960109019,0.02534208581241045
Lipids_POS_900.6794_391.6106_333.8765,0.19077243652008305,0.21426457246732766
Lipids_POS_900.6829_368.6123_331.3133,0.18055500958088155,0.2036371108057741
Lipids_POS_796.7378_451.0151_323.4117,0.18016512509896065,0.20286038654938332
Lipids_NEG_878.6256_344.5228_322.0772,0.1296950761023025,0.15238556400655245
Lipids_NEG_897.7019_391.0988_335.6860,0.2801072643018221,0.302719116403558
Lipids_NEG_918.6204_341.4169_330.8214,0.21879042930706288,0.2412439685638343
Lipids_POS_288.2167_45.9976_182.5892,0.0813730966719655,0.103676559376458
Lipids_POS_742.5370_314.7750_294.3044,0.04880351440107905,0.07097992382455855
Lipids_NEG_393.3728_328.3709_214.1426,0.22643634467318413,0.2485033059980484
Lipids_POS_595.9313_459.9987_205.3145,0.07592650104845775,0.09769305395844854
Lipids_NEG_792.5554_349.8552_295.4956,0.1942500497680661,0.21586759950156514
Lipids_NEG_435.3835_299.5064_220.4929,0.17325969275995878,0.19436415415447364
Lipids_POS_790.6845_396.9221_320.3477,0.30887729924413987,0.3296101687015689
Lipids_POS_1540.1657_342.3912_476.3562,0.02407741649376515,0.04423146930286975
Lipids_NEG_887.6828_362.6118_334.9300,0.14267075779228272,0.16190499882814718
Lipids_NEG_776.5445_331.4939_300.3224,0.2554203236478116,0.27457705246929043
Lipids_POS_919.8428_480.4868_357.9967,0.38300489047230357,0.4014528467455401
Lipids_NEG_441.3942_265.3164_239.5379,0.21884566086795434,0.23728217638262467
Lipids_POS_860.6147_341.3831_319.4483,0.25826946668258693,0.27646991324385894
Lipids_POS_821.6613_415.6514_318.2957,0.0354643989840078,0.0536289547034928
Lipids_NEG_894.2031_367.6243_304.4143,0.05334676831285,0.07148878629704836
Lipids_POS_945.7281_443.8157_346.0400,0.29900498344964865,0.31671626502130845
Lipids_POS_671.5722_445.5855_303.0287,0.12725441076144905,0.14489685199548413
Lipids_POS_867.7038_355.6422_332.3289,0.2563227211213812,0.27389272206028964
Lipids_NEG_895.7504_479.9357_339.5117,0.3559254212142414,0.3734771977100933
Lipids_NEG_1627.2344_354.5069_493.0730,0.1858847595043388,0.2032813403873187
Lipids_POS_803.6901_400.0061_322.4041,0.168651708734341,0.1860315261769539
Lipids_NEG_826.5569_370.5268_309.1555,0.11285482526962815,0.13018680115251818
Lipids_POS_795.5735_337.4525_466.5303,0.0254717630296337,0.04271525906729385
Lipids_NEG_311.1395_38.0911_182.0262,0.135344252596157,0.15221063483705272
Lipids_NEG_566.3822_197.3529_255.4581,0.24653683255902403,0.2633352364200779
Lipids_NEG_1028.7236_365.6737_348.8825,0.24552639752337765,0.262149618088942
Lipids_POS_367.3358_406.5366_207.7260,0.16434294675863514,0.1809122062987443
Lipids_NEG_843.6593_373.4040_322.3902,0.22989226642343605,0.24645517719591806
Lipids_POS_900.6834_380.2414_333.7923,0.1905920024469375,0.20714911009468
Lipids_POS_783.6323_379.0932_312.2339,0.2789694637951392,0.29552385069658615
Lipids_NEG_188.9861_36.9286_129.5368,0.0990878040509338,0.1155690156887169
Lipids_POS_736.6441_404.6168_302.8446,0.16777378204557042,0.1842312314735428
Lipids_NEG_1169.7282_316.8434_385.7447,0.034816668998028696,0.05113992881358205
Lipids_NEG_714.5075_315.0968_278.9987,0.04121304721299385,0.057000307159150596
Lipids_NEG_730.5760_360.8881_286.5406,0.19789655078163534,0.21365881893558114
Lipids_POS_820.6201_342.4029_314.8569,0.21264257801643777,0.2281884087987477
Lipids_POS_881.7555_466.2420_339.4432,0.37609010378694624,0.39152399452140124
