,depressed_hopeless_fortnight,depressed_longest_period_weeks,depressed_whole_week,depressed_whole_week_periods,family_relationship_satisfaction,fed-up_often,feeling_lonley_often,fidgety_or_restless_fortnight,financial_situation_satisfaction,friendships_satisfaction,happiness_level,health_satisfaction,high_irritable_longest_period_duration,high_irritable_state,high_irritable_state_caused_problems,hyper_least_two_days,irritable_person,irritablilty_leading_to_argumens,little_interest_or_pleasure_fortnight,miserable_no_reason,mood_swings,nerves_anxiety_tension_depression_doctor,nerves_anxiety_tension_depression_psychiatrist,nervous_person,risks_taker,suffer_nerves,tense_or_highly_strung,tired_or_little_energy_fortnight,troubled_by_guilt,unenjoyment_uninterested_period_duration_weeks,unenjoyment_uninterested_periods_number,unenjoyment_uninterested_whole_week,work_satisfaction,worrier,worry_long_after_embarrassment,rds_score
13,-0.027729588238039535,-0.0988205090608064,-0.03049975032620241,-0.027136769275498695,-0.024816539026401106,-0.03169865651307196,-0.026388224469149124,0.14978305084460727,0.11030300431790487,-0.029532980241503103,-0.050816190879999966,0.2354867887809129,-0.09776305581078745,-0.04387713452266906,-0.20642338237988359,-0.02268967621003536,-0.04017014775930326,-0.03244523179597534,0.034250014294861415,-0.034950142437582925,-0.041365039795199246,-0.027006882052763557,-0.030694614676633928,-0.03320858385136156,-0.026829643321854876,-0.018764991579628923,-0.04700784535282603,0.11766760466000875,-0.04708733490270976,-0.05236393671671785,-0.07083548935360628,-0.03362891589145111,0.1601717112144757,-0.021669399954335786,-0.038197278479237415,0.20950886039541325
14,-0.028078989929546435,-0.03633124277949249,-0.05603451343321666,-0.07071873567192136,-0.03316574528736638,-0.02748164408497692,-0.018929906738686154,0.17351281744304756,0.10875759801356935,-0.03737347619280507,-0.04126219705177123,0.24052974946662498,-0.08921149266240556,-0.07657333591607307,-0.1163888623949717,-0.043421633527232224,-0.05233430886441344,-0.06053344321226156,0.023960311334544893,-0.02550013221064418,-0.038491302084406334,-0.03633425850882455,-0.05286644843939464,-0.038052481581832914,-0.03216861557890362,-0.025936599828390326,-0.0340123935339088,0.149377874087262,-0.04513496096145672,-0.08678474839602572,-0.08734798568226257,-0.05208350272227133,0.15551315102036353,-0.023627529646659002,-0.05240764807659112,0.215383328344535
15,-0.03713782402687823,-0.0378387172173347,-0.02844439960361608,-0.031168551705157845,-0.060537392602715505,-0.023778230631850538,-0.028700864960983195,0.14099555263439748,0.06665162463801351,-0.053394677764075235,-0.020488743262622903,0.23930715554109822,-0.04287168231997487,-0.09862094031581106,-0.06901481085380025,-0.04690334257692921,-0.06603711150198506,-0.04962254650367498,0.06416837125312987,-0.022820922196331844,-0.030664961026236844,-0.03628900119065761,-0.029304442439517037,-0.03565074047651774,-0.03545224967449098,-0.051504544438012834,-0.031078267261836833,0.1359917359486618,-0.04688339729576982,-0.1134630117102019,-0.10358605956048136,-0.048405730967005865,0.1477224967918636,-0.04017892083911515,-0.06475078610384592,0.21908288254514607
16,-0.04251673808315199,-0.07461099517067472,-0.04643087919129503,-0.07622990991179951,-0.0335521526074398,-0.016982980962049397,-0.05030047541107036,0.1565241275923103,0.08881784362722275,-0.03066365097366484,-0.017107930767820682,0.2404065086865584,-0.06514303889483718,-0.09732428156239645,-0.2271728791668518,-0.02643843885584885,-0.02055634206115201,-0.03448981137974994,0.024063100123488952,-0.04537795728999321,-0.04402634576838103,-0.033600360958262646,-0.04989302506231016,-0.04009121857397543,-0.05282520394304346,-0.03459878768084958,-0.03227862145298177,0.1480395060775557,-0.04742873657132779,-0.1629248192359511,-0.02663327103272248,-0.024164660462867783,0.15115046864566906,-0.07034145054614456,-0.041173930489766176,0.21291638873171728
17,-0.0398622256875226,-0.07620507586040558,-0.03789165915783916,-0.032750983032396146,-0.01487996695916556,-0.034704510945699714,-0.01807101461093378,0.13541838017899369,0.09195829260324088,-0.011113445098526221,-0.050120272791705986,0.22378454315192348,-0.06786022232300923,-0.07755734223918972,-0.20694002382707577,-0.06931425197407705,-0.043941579806911685,-0.0326094910251674,0.0364073350145816,-0.03982750260707934,-0.057580712500808824,-0.0332537492281777,-0.046457635595082925,-0.03758441356378197,-0.015971547105623117,-0.023362651933190932,-0.049623483280324204,0.12053475840358388,-0.04982539735320546,-0.07332235104904955,-0.13676660369852778,-0.048405730967005706,0.1576174015008757,-0.01611152255354067,-0.05779748018109386,0.21588854186140585
18,-0.03491460531707953,-0.017333329641845342,-0.03973279813835245,-0.0636063731239236,-0.05898894070902434,-0.03160377459966917,-0.03317802746026156,0.176058984385712,0.08982509884818986,-0.038033913847458876,-0.04434882527702356,0.23638439548916612,-0.04697602720200666,-0.13168031807398584,-0.17638891473332768,-0.04497377391207751,-0.018077559791491803,-0.05188077219742622,0.02347620928691908,-0.03803540909871396,-0.02303615493486279,-0.04324107078756171,-0.030860859043927644,-0.02670907549480445,-0.020999668913567776,-0.05261205250781066,-0.042816576008659214,0.1216919836020648,-0.0351887329671581,-0.06528517852794015,-0.10153392010095486,-0.06241262648701016,0.1573225350617394,-0.04639666407820721,-0.023570354577660938,0.2112999619578358
19,-0.03297653201138501,-0.020714581962734922,-0.02837833443439621,-0.02566859784101695,-0.04521148991782096,-0.04240046249638339,-0.014874535076926217,0.16969487429418809,0.09780957244146844,-0.04310770397986641,-0.05932002528702694,0.23747464422173087,-0.09481165640564108,-0.08759693619734994,-0.04096784657705632,-0.024547834170092105,-0.04441575888077061,-0.024356421838636386,0.03907660910782455,-0.03373945452146943,-0.01805736902956646,-0.031069124290609,-0.057562427677846764,-0.014755668448240325,-0.03832201250593939,-0.025904846913845817,-0.024789294469760147,0.14284457434578093,-0.03943068413665787,-0.047545579751280154,-0.11035614312190672,-0.03627247188598591,0.14974655041473983,-0.034401304568508775,-0.05599335710681384,0.21750752397926726
20,-0.03502994540444472,-0.06488667299765903,-0.04247936180798479,-0.09814247769678398,-0.0637038891072081,-0.024946033472168352,-0.047739923647247884,0.1706631485314559,0.09946291621553273,-0.038381500819112395,-0.02770670001248847,0.2326370051143517,-0.06569647424424177,-0.04122458146702517,-0.08769728137180828,-0.04173682063071651,-0.052789794466126486,-0.042304504818151276,0.028049072280200628,-0.015250092535531482,-0.05385558917840462,-0.02408606053702519,-0.012638605450777853,-0.04378451676411138,-0.036173190666067036,-0.02533169364155139,-0.04508071618075498,0.11983923852949419,-0.04927194700251942,-0.07174187887302999,-0.11676163000930317,-0.04916330016917389,0.14714599261135228,-0.021685398100936552,-0.014735647721328368,0.21332319059778612
21,-0.03235935741995824,-0.035064394558675945,-0.02291237293029215,-0.06483878682302642,-0.03639355344618285,-0.015050040978177786,-0.05436779027119104,0.1665657477562183,0.08655575161026723,-0.017731775656751055,-0.05748730241064815,0.23572365518022037,-0.07298556042015727,-0.04729320682472328,-0.06901481085380023,-0.0543421086659043,-0.05239146112438874,-0.057755919468005255,-0.005162167956285582,-0.06604786930550825,-0.02027581293150847,-0.04194921217363113,-0.03903777346790102,-0.033208583851361606,-0.04552733156561474,-0.03827196714008405,-0.0454484612662069,0.14286663706336872,-0.02734530497732817,-0.11516311536473109,-0.11465263718718349,-0.06085356343727365,0.15703235067112067,-0.025713010610707725,-0.016937771040034348,0.2171210887192195
22,-0.0387941528377877,-0.03179632647001746,-0.06585463440580754,-0.04476735155017114,-0.039105172592627885,-0.046130987330028274,-0.04331814858337095,0.16790661450258534,0.09630153936120145,-0.03829489984951821,-0.0357691959089108,0.23882605521093833,-0.1045042764087131,-0.08721464047093724,-0.18742750969146027,-0.06199494855685076,-0.03296866847392407,-0.03548970293457045,0.011502516204555361,-0.04042009838028553,-0.030047832010336915,-0.033619379992119745,-0.031878926691851994,-0.050627981591304466,-0.04080196028665698,-0.03750494028147039,-0.05668166618038885,0.1464460685182555,-0.02912766805013495,-0.09190168683712825,-0.12056240001104988,-0.053206726311054275,0.15558057913583434,-0.023205156700212278,-0.04449739110978915,0.21623138095816832
