,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake
body_comp_trunk_right_lean_mass,0.2589637783815059,0.1848594607605654,-0.1765399522739291,-0.0480467167163566,0.0585956406314136,-0.1298790187519995,-0.0892709411708671,0.0406613929482393,0.2694449368632702,0.1442391861456428
body_comp_android_fat_free_mass,0.2788364256159989,0.21037273728377,-0.1974800657138078,-0.068713229293287,0.0461682501201329,-0.1253026051187116,-0.0914240893068259,0.0419560362979773,0.2497641973356797,0.1359744554211693
body_comp_android_lean_mass,0.2793667052063974,0.2107276086308171,-0.198155680043034,-0.0688456870109913,0.0457692886410985,-0.1252935543461496,-0.0914927289985083,0.0423447621144393,0.2496935097497618,0.1358529611969517
body_comp_total_left_fat_free_mass,0.2793848786811996,0.1997312775805579,-0.1872839328687637,-0.0536349631401468,0.0632875452274084,-0.1345881278101156,-0.0872704992292435,0.0378471221319097,0.2651668782079538,0.1419897643362308
body_comp_total_lean_mass,0.2861068219640547,0.2038164289893431,-0.1953102393742609,-0.0584028585408281,0.0627821298804493,-0.1357755615577401,-0.0897787015788648,0.0384696591907948,0.2643605754971796,0.1416691957670693
body_comp_total_right_lean_mass,0.2869795540884575,0.2034458697313884,-0.197445471049918,-0.0597689296130231,0.0622979891037105,-0.1361119739819359,-0.090697641643992,0.0390383173931428,0.2630000621518081,0.1408187997927933
body_comp_total_right_fat_free_mass,0.2834841962418011,0.2011991358853869,-0.1938234963457043,-0.0577118799092572,0.0626511433835361,-0.1365259389272631,-0.090108925788764,0.0385657737910227,0.2640380820314744,0.1414078827653235
body_comp_total_fat_free_mass,0.28255507484318,0.2014514115697761,-0.1915079585299327,-0.0561586359698252,0.0632385779886015,-0.1360621992636241,-0.0890401745631423,0.0381146642995688,0.2654024248001841,0.1421825289069195
body_comp_total_left_lean_mass,0.2831914293898434,0.2023767404839535,-0.1914716047423785,-0.056165953297199,0.0629529916111009,-0.1342982979701299,-0.0881024189617409,0.0379689389160017,0.2641225923496353,0.1415982699218124
body_comp_android_bone_mass,0.114301957619844,0.0876991315101139,-0.0602885406448461,-0.0279698759777174,0.0530254522385592,-0.067207250193436,-0.041272280742041,,0.133839679218858,0.0790517929203201
height,0.1175660756488022,0.0926637059684961,-0.0497472526693326,0.0322955301271321,,-0.1042990360204592,-0.05178116408282,0.0591525700631377,0.2327168659531479,0.1193832721803482
body_comp_arm_right_bone_mass,0.1347636130948726,0.1104820653726025,-0.0481597983777319,0.0415979663777976,0.0541418721541944,-0.1191911446048694,-0.0686800033715963,0.056057791635016,0.2749092429311324,0.1537418479209137
body_comp_arms_bone_mass,0.1356170051802735,0.1108282250332842,-0.0466793533156041,0.0416858260967187,0.0549585587682055,-0.1207045967842354,-0.0685640378998192,0.0539086175426031,0.275743661841319,0.1562156388747403
body_comp_arm_left_bone_mass,0.137515174658531,0.1119476583148481,-0.0473884638428876,0.0399757507743919,0.0565666795799093,-0.1201920940285996,-0.0692860081432402,0.0521645293270824,0.274384945446165,0.1554813814085308
body_comp_leg_right_bone_mass,0.1721178293711686,0.1304637374227323,-0.0927200432852367,,0.0609550685677965,-0.1371992425229805,-0.0703252831927509,0.0426273479711597,0.2718804894016455,0.1504342504892091
body_comp_legs_bone_mass,0.1732507220685504,0.1293468397089402,-0.0936436777596719,,0.0612389016581588,-0.1364532307146647,-0.0708758867918865,0.0439237591972436,0.2739898240041613,0.1507010641240488
body_comp_leg_left_bone_mass,0.1734998145870105,0.1277410608902891,-0.094382041609544,,0.0610525919849084,-0.135240357937305,-0.0707453840866691,0.0445792412326855,0.2744710132745488,0.1500202008524862
body_comp_total_left_bone_mass,0.1694692453152277,0.1217278222986699,-0.0791336007959979,,0.0602397372908364,-0.1267241572716069,-0.061790649156925,0.0343598528958523,0.2576263962151947,0.1325161115687312
body_comp_gynoid_bone_mass,0.1830601802024599,0.1395980349505436,-0.1056891409817921,,0.0673904446105525,-0.1236445153624261,-0.0752646175057241,0.0300366954930432,0.2529629370956508,0.1450593217155306
body_comp_total_right_bone_mass,0.1829090293124765,0.1321432968599815,-0.0986345180947647,,0.0632348732027531,-0.1286019015833705,-0.0681892345123873,0.0281156304795646,0.2513115508508996,0.1369394438855749
body_comp_total_bone_mass,0.1804414263800202,0.1303621542846907,-0.0912556626917907,,0.0638882424301726,-0.1310328844211092,-0.0666430380659481,0.0317490186116043,0.2606055065156518,0.1381056087022384
body_comp_gynoid_fat_mass,0.1591724691143748,0.0899019198236738,-0.1965276923077566,-0.1872543865069841,,0.0535133095271141,,-0.0838811162559393,-0.2125514544531556,-0.1320179738074238
body_comp_leg_left_fat_mass,0.1295061662892284,0.0676417376003967,-0.1769996965800548,-0.1786425477063632,,0.0573310945708571,0.0322547940140708,-0.0798235175189985,-0.2168848133811196,-0.1322489506535813
body_comp_leg_right_fat_mass,0.1258813951577334,0.0698043787410262,-0.1749390565243256,-0.1792807060345134,,0.0564589306222266,0.0340810159194782,-0.0800853650159672,-0.2195602916188654,-0.1333514031974065
body_comp_legs_fat_mass,0.1282878748375593,0.068988070501738,-0.1765554084442474,-0.1795953420749614,,0.0570345962621817,0.0333166215499657,-0.0802030565781334,-0.2190906087814499,-0.1332303151494365
body_comp_arm_right_fat_mass,0.2571815285578895,0.1441888746064911,-0.2497781216662722,-0.1867103659408388,,0.0384751192006054,,-0.0744430828021473,-0.1852669500948046,-0.1125069924319438
body_comp_arm_left_fat_mass,0.2497653477124758,0.1306343658131184,-0.2397994127551282,-0.1869673735108482,0.0244127273108126,0.0371856265536603,,-0.0781918181366038,-0.1806939949873827,-0.1074469564693068
body_comp_arms_fat_mass,0.2572374333916618,0.1394748384958909,-0.2492268769669064,-0.1903213983939967,0.0236698304186107,0.0391806335717469,,-0.0775706553941807,-0.1864849412583914,-0.1132410769581599
