,"Age, BMI & VAT",Diet
rdi_during_rem,0.0007946501527677372,0.0011066547597658332
rdi_during_right,0.002614432882762801,0.005104364484757205
rdi_during_supine,0.0011475549525898588,0.0016309334264300386
rem_latency,0.006552753230294559,0.01318101854417684
saturation_below_80,0.00991120555259734,0.009911205552597332
saturation_below_85,0.014309192514596574,0.009306653784963662
saturation_below_90,0.004939534949642233,0.012077657499417986
saturation_below_or_equal_88,0.005987133546944915,0.006567288298095023
saturation_max_value,0.007756031557062098,0.007756031557062087
saturation_mean,0.0009049228281304811,0.0009049227758042466
saturation_min_value,0.0012206685163820732,0.0031649145610484447
sleep_efficiency,0.00634885455974189,0.014368362550325434
sleep_latency,0.010864911253321879,0.012934842197997724
snore_above_40db,0.00263769783843486,0.008284237300160308
snore_above_45db,0.002245849892010289,0.005114583554407593
snore_above_50db,0.003281268594234322,0.008290575764723605
snore_above_60db,0.008989137828963779,0.008106788264285488
snore_db_mean,0.0038338263445183334,0.003943072957915642
time_to_transition_nrem_to_rem,0.005770121027184091,0.013466918439002627
time_to_transition_nrem_to_wake,0.0035121378987564168,0.00790465004969326
time_to_transition_rem_to_nrem,0.003803457400566562,0.009995530442875294
time_to_transition_rem_to_wake,0.006412332247337099,0.015157630124187945
time_to_transition_wake_to_nrem,0.012087250340358895,0.01622711286655116
time_to_transition_wake_to_rem,0.00936421751676678,0.011927073915068701
total_arousal_sleep_time,0.009019353050878861,0.012181186924478076
total_deep_sleep_time,0.0027919831513025734,0.0050679142900927855
total_left_sleep_time,0.0054353564496894425,0.013173089715648812
total_light_sleep_time,0.0030113204459536426,0.010224746563488107
total_non_supine_sleep_time,0.004264219232088814,0.011483547328431353
total_prone_sleep_time,0.011748579056946973,0.013237373433774874
total_rem_sleep_time,0.005211719313391295,0.01040402214447413
total_right_sleep_time,0.0050836464397511615,0.012376667158375486
total_sleep_time,0.0088257111210781,0.01211009513865764
total_supine_sleep_time,0.004575344132955433,0.010151915232346905
total_time_in_bed,0.0053535080354843514,0.012479276567435369
total_valid_apnea_central_sleep_time,0.011046407834235732,0.01052649669775483
total_valid_apnea_sleep_time,0.01265821590423813,0.011280108556017226
total_wake_time,0.00463859193548116,0.008940128191162806
total_wake_time_after_sleep_onset,0.003241264085998256,0.007171754515268049
variability_between_sleep_stage_percents,0.0028177999908156467,0.010562625369266502
