,"Age, BMI & VAT","Sleep Quality
(average of nights)"
Lipids_POS_9947840_4137348_3573805,0.1557236206450982,0.1634099393757724
Lipids_POS_9597791_4127769_3508156,0.19393467643958928,0.20152697791246194
Lipids_POS_7255556_3307768_2991833,0.17662322559836263,0.18416913188419334
Lipids_POS_7726217_3632638_3097307,0.3110400634647974,0.31856029409587894
Lipids_NEG_2792324_4475302_1814676,0.08959357697930989,0.097045020196267
Lipids_POS_15041617_3465469_4701727,0.290084034175475,0.297329487489175
Lipids_NEG_9106874_3806038_3318023,0.28772842732849824,0.29491733953663524
Lipids_POS_8667215_4118186_3311364,0.24253295380681872,0.24963883216149368
Lipids_NEG_9928036_4173992_3565221,0.22693796180336456,0.2340225019130939
Lipids_NEG_2449748_4596243_1446673,0.220139964098883,0.22718634808977226
Lipids_POS_8585993_3262621_3148097,0.02430104325376425,0.0313194208321069
Lipids_NEG_9717065_3799098_3525768,0.27449909323296573,0.28150457166004356
Lipids_NEG_10428185_4113302_3648974,0.23550711024471804,0.24247292971579948
Lipids_POS_7785376_3051594_2964299,0.10061928196840356,0.10745427032178435
Lipids_NEG_7271610_3741125_2625806,0.1197577804585213,0.12627188156967115
Lipids_POS_6475022_4243732_2743196,0.243499889689719,0.249945780490994
Lipids_POS_9210458_4241877_3437006,0.2390027748506489,0.2451774766481018
Lipids_NEG_16361844_3419711_4909456,0.1749378851009631,0.18106305515736704
Lipids_POS_4966745_1743182_2398467,0.16638805632843265,0.17248860285827516
Lipids_NEG_9127046_3958197_3342874,0.29099091087817625,0.2970493071381885
Lipids_POS_7839047_3205099_2994472,0.26899592160834296,0.27499452992958984
Lipids_POS_8788073_4643526_3408640,0.346134987023781,0.35211744584925386
Lipids_NEG_5403664_1882946_2503236,0.1977072072496689,0.20359730857131253
Lipids_NEG_8806417_3602720_3246714,0.2293689233125905,0.23516248755168004
Lipids_POS_9067539_4189630_3407017,0.21890361831215643,0.224684548423577
Lipids_POS_9707165_3654894_3433930,0.2426919691190984,0.24845057582076055
